date,BTC,ETH,LTC,BNB,XRP,ADA,AAVE,SOL,DOGE,TRX,NEO,MATIC,DOT,SHIB,NEAR,UNI
1/1/2018,13380,754.99,222.61,8.45,0,0,0,0,0,0,78.299,0,0,0,0,0
2/1/2018,14675.11,855.28,247.33,8.715,0,0,0,0,0,0,89.696,0,0,0,0,0
3/1/2018,14919.51,934.03,238.77,9.304,0,0,0,0,0,0,103.505,0,0,0,0,0
4/1/2018,15059.54,940,233,9.143,0,0,0,0,0,0,97.669,0,0,0,0,0
5/1/2018,16960.39,959.3,240.54,14.8908,0,0,0,0,0,0,95.134,0,0,0,0,0
6/1/2018,17069.79,1004.11,275.28,22.6,0,0,0,0,0,0,100.491,0,0,0,0,0
7/1/2018,16150.03,1123.09,269.01,18.594,0,0,0,0,0,0,103.096,0,0,0,0,0
8/1/2018,14902.54,1133.18,252.65,17.9971,0,0,0,0,0,0,101.361,0,0,0,0,0
9/1/2018,14400,1291,244.48,17.399,0,0,0,0,0,0,126.7,0,0,0,0,0
10/1/2018,14907.09,1247,247.63,17.5,0,0,0,0,0,0,122.239,0,0,0,0,0
11/1/2018,13238.78,1138.93,223.77,21.2024,0,0,0,0,0,0,107.701,0,0,0,0,0
12/1/2018,13740.01,1253.87,233.11,22.1999,0,0,0,0,0,0,123.111,0,0,0,0,0
13/1/2018,14210,1388.02,257.98,22.0246,0,0,0,0,0,0,139.777,0,0,0,0,0
14/1/2018,13474.99,1347,234.12,20.4541,0,0,0,0,0,0,170,0,0,0,0,0
15/1/2018,13539.93,1271,229.5,19.3396,0,0,0,0,0,0,189.382,0,0,0,0,0
16/1/2018,10900,1000,179.28,13.1996,0,0,0,0,0,0,137.502,0,0,0,0,0
17/1/2018,10988.79,1000,182.44,14.1998,0,0,0,0,0,0,142,0,0,0,0,0
18/1/2018,10961.97,994,186.14,14.1397,0,0,0,0,0,0,139.501,0,0,0,0,0
19/1/2018,11474.98,1032.5,191.42,14.9447,0,0,0,0,0,0,139.523,0,0,0,0,0
20/1/2018,12799.94,1152.75,210.4,16.1712,0,0,0,0,0,0,149.999,0,0,0,0,0
21/1/2018,11530,1049,190.16,14.1334,0,0,0,0,0,0,132.589,0,0,0,0,0
22/1/2018,10760.05,993,178,12.91,0,0,0,0,0,0,123.314,0,0,0,0,0
23/1/2018,10799.18,980,176.98,13.1022,0,0,0,0,0,0,122.77,0,0,0,0,0
24/1/2018,11349.99,1061,180.89,13.8,0,0,0,0,0,0,138,0,0,0,0,0
25/1/2018,11175.27,1056.52,179.59,13.1905,0,0,0,0,0,0,138.024,0,0,0,0,0
26/1/2018,11089,1051.03,177.09,13.1344,0,0,0,0,0,0,137.621,0,0,0,0,0
27/1/2018,11491,1118.99,182.1,13.3994,0,0,0,0,0,0,141.959,0,0,0,0,0
28/1/2018,11879.95,1251.96,196.74,13.7739,0,0,0,0,0,0,154.101,0,0,0,0,0
29/1/2018,11251,1177.01,181.5,12.815,0,0,0,0,0,0,168.289,0,0,0,0,0
30/1/2018,10237.51,1085.5,168.21,11.4749,0,0,0,0,0,0,146.185,0,0,0,0,0
31/1/2018,10285.1,1124.81,165.19,11.3131,0,0,0,0,0,0,146.488,0,0,0,0,0
1/2/2018,9224.52,1041.94,143.69,9.5138,0,0,0,0,0,0,126.5,0,0,0,0,0
2/2/2018,8873.03,922.3,131.68,9.7484,0,0,0,0,0,0,121.155,0,0,0,0,0
3/2/2018,9199.96,971,160.3,9.7252,0,0,0,0,0,0,124.601,0,0,0,0,0
4/2/2018,8184.81,823.56,147.09,8.3511,0,0,0,0,0,0,107.025,0,0,0,0,0
5/2/2018,6939.99,697.92,125.17,6.7315,0,0,0,0,0,0,82.136,0,0,0,0,0
6/2/2018,7652.14,779.25,141,8.263,0,0,0,0,0,0,103.534,0,0,0,0,0
7/2/2018,7599,754,137.21,8.0647,0,0,0,0,0,0,102.337,0,0,0,0,0
8/2/2018,7784.02,781.66,142.37,8.2791,0,0,0,0,0,0,109.2,0,0,0,0,0
9/2/2018,8683.92,877,163.73,9.86,0,0,0,0,0,0,114.52,0,0,0,0,0
10/2/2018,8533.98,851.15,154.65,9.2448,0,0,0,0,0,0,107.3,0,0,0,0,0
11/2/2018,8063.88,808.99,148.28,8.674,0,0,0,0,0,0,101.707,0,0,0,0,0
12/2/2018,8903,866.66,161.49,9.3389,0,0,0,0,0,0,111.89,0,0,0,0,0
13/2/2018,8539.9,841.57,159.63,9.016,0,0,0,0,0,0,108.5,0,0,0,0,0
14/2/2018,9449.99,919.09,212.25,10.4096,0,0,0,0,0,0,122.001,0,0,0,0,0
15/2/2018,10000.09,924.55,220.64,10.8661,0,0,0,0,0,0,121.003,0,0,0,0,0
16/2/2018,10159.98,938.67,228.08,11.25,0,0,0,0,0,0,127.415,0,0,0,0,0
17/2/2018,11039.55,969.99,228,11.66,0,0,0,0,0,0,134.999,0,0,0,0,0
18/2/2018,10383.43,911,213.66,10.6631,0,0,0,0,0,0,125.121,0,0,0,0,0
19/2/2018,11153,938.11,221.44,11.0601,0,0,0,0,0,0,136.391,0,0,0,0,0
20/2/2018,11200.99,882.99,228.51,9.8888,0,0,0,0,0,0,124.66,0,0,0,0,0
21/2/2018,10437.6,835.89,209.6,9.3799,0,0,0,0,0,0,117.697,0,0,0,0,0
22/2/2018,9811.04,801.49,192.61,8.86,0,0,0,0,0,0,111.478,0,0,0,0,0
23/2/2018,10131.04,851.6,206.4,9.693,0,0,0,0,0,0,118.336,0,0,0,0,0
24/2/2018,9694.51,833.94,206.5,9.0873,0,0,0,0,0,0,115.25,0,0,0,0,0
25/2/2018,9590,841.19,217.78,9.35,0,0,0,0,0,0,116.789,0,0,0,0,0
26/2/2018,10324,867.98,218.5,9.9199,0,0,0,0,0,0,134.402,0,0,0,0,0
27/2/2018,10569.04,870.11,214.6,10.56,0,0,0,0,0,0,139.856,0,0,0,0,0
28/2/2018,10326.76,853.5,201.86,10.4536,0,0,0,0,0,0,131.7,0,0,0,0,0
1/3/2018,10920,870.63,209.17,10.4768,0,0,0,0,0,0,128.555,0,0,0,0,0
2/3/2018,11039,856.28,212.8,10.2348,0,0,0,0,0,0,123.58,0,0,0,0,0
3/3/2018,11464.48,856.02,210.04,10.2399,0,0,0,0,0,0,121.379,0,0,0,0,0
4/3/2018,11515,866.66,213.19,10.4139,0,0,0,0,0,0,119.3,0,0,0,0,0
5/3/2018,11454,849.84,210.14,10.0847,0,0,0,0,0,0,111.183,0,0,0,0,0
6/3/2018,10716.48,813.11,196.24,9.3899,0,0,0,0,0,0,104.357,0,0,0,0,0
7/3/2018,9910,749.9,185.25,9.0405,0,0,0,0,0,0,100.1,0,0,0,0,0
8/3/2018,9271.64,695.46,175.24,8.2703,0,0,0,0,0,0,90.402,0,0,0,0,0
9/3/2018,9227,723.71,185.79,8.2807,0,0,0,0,0,0,91.64,0,0,0,0,0
10/3/2018,8770.22,680.58,176.74,7.65,0,0,0,0,0,0,84.73,0,0,0,0,0
11/3/2018,9533.57,720.85,188.16,8.268,0,0,0,0,0,0,90.445,0,0,0,0,0
12/3/2018,9131.34,697.11,177.8,8.034,0,0,0,0,0,0,85.25,0,0,0,0,0
13/3/2018,9150,689.94,175.01,10.2188,0,0,0,0,0,0,83,0,0,0,0,0
14/3/2018,8170,610.1,160.15,8.9243,0,0,0,0,0,0,71.2,0,0,0,0,0
15/3/2018,8240.98,608.83,164,9.1047,0,0,0,0,0,0,69.06,0,0,0,0,0
16/3/2018,8260,599.05,164.1,9.0645,0,0,0,0,0,0,67.288,0,0,0,0,0
17/3/2018,7824.8,546.95,151.75,8.9231,0,0,0,0,0,0,60.2,0,0,0,0,0
18/3/2018,8189.99,537,153.5,8.9648,0,0,0,0,0,0,65.2,0,0,0,0,0
19/3/2018,8600,556.88,161.2,9.035,0,0,0,0,0,0,72.53,0,0,0,0,0
20/3/2018,8909.98,557,168.24,9.1618,0,0,0,0,0,0,75.713,0,0,0,0,0
21/3/2018,8885,559.17,168.54,9.9777,0,0,0,0,0,0,72.58,0,0,0,0,0
22/3/2018,8722.9,539.92,163.65,10.0806,0,0,0,0,0,0,69.289,0,0,0,0,0
23/3/2018,8898.03,543.03,168.66,11.7397,0,0,0,0,0,0,68.847,0,0,0,0,0
24/3/2018,8546.86,520.22,158.92,13.2398,0,0,0,0,0,0,65.225,0,0,0,0,0
25/3/2018,8470.15,523.74,160.01,12.95,0,0,0,0,0,0,65.521,0,0,0,0,0
26/3/2018,8134.23,485,147.83,12.05,0,0,0,0,0,0,58.879,0,0,0,0,0
27/3/2018,7795.51,448.5,135,11.5404,0,0,0,0,0,0,55.365,0,0,0,0,0
28/3/2018,7949.3,446.67,131.22,11.6888,0,0,0,0,0,0,57.165,0,0,0,0,0
29/3/2018,7090.14,384,114.7,10.1877,0,0,0,0,0,0,51.606,0,0,0,0,0
30/3/2018,6840.23,392.43,118.35,10.3955,0,0,0,0,0,0,50.296,0,0,0,0,0
31/3/2018,6923.91,393.92,116.05,11.051,0,0,0,0,0,0,49.918,0,0,0,0,0
1/4/2018,6813.01,378.58,114.74,11.0767,0,0,0,0,0,0,47.25,0,0,0,0,0
2/4/2018,7056,385.05,119.05,12.5996,0,0,0,0,0,0,48.816,0,0,0,0,0
3/4/2018,7405.21,415.01,134.04,13.305,0,0,0,0,0,0,53.273,0,0,0,0,0
4/4/2018,6796.1,378.16,118.07,12.21,0,0,0,0,0,0,47.537,0,0,0,0,0
5/4/2018,6770.76,381.22,118.26,12.4888,0,0,0,0,0,0,46.954,0,0,0,0,0
6/4/2018,6601.39,368.89,112.79,12.2599,0,0,0,0,0,0,44.748,0,0,0,0,0
7/4/2018,6895.8,384.51,115.8,12.5,0,0,0,0,0,0,46.592,0,0,0,0,0
8/4/2018,7018,400.4,117.55,12.1311,0,0,0,0,0,0,49.37,0,0,0,0,0
9/4/2018,6782.72,399.44,114.79,11.8888,0,0,0,0,0,0,53.02,0,0,0,0,0
10/4/2018,6843.9,416.07,114.25,12.0904,0,0,0,0,0,0,52.734,0,0,0,0,0
11/4/2018,6953.79,429.52,118.4,12.33,0,0,0,0,0,0,58.293,0,0,0,0,0
12/4/2018,7923,495.67,129.67,13.0087,0,0,0,0,0,0,67.15,0,0,0,0,0
13/4/2018,7877.41,495.11,125.1,13.52,0,0,0,0,0,0,62.269,0,0,0,0,0
14/4/2018,7999.01,502.68,126.4,13.2888,0,0,0,0,0,0,64.179,0,0,0,0,0
15/4/2018,8355,533.88,132.45,13.0989,0,0,0,0,0,0,70.617,0,0,0,0,0
16/4/2018,8064.92,511.46,128.96,12.2342,0,0,0,0,0,0,66.801,0,0,0,0,0
17/4/2018,7885.02,502.56,132.09,11.777,0,0.2426,0,0,0,0,65.66,0,0,0,0,0
18/4/2018,8173,526.09,140.36,12.2999,0,0.262,0,0,0,0,72.91,0,0,0,0,0
19/4/2018,8278,568.14,146.71,12.361,0,0.27004,0,0,0,0,73.949,0,0,0,0,0
20/4/2018,8856.98,617.09,155.71,12.5858,0,0.30108,0,0,0,0,79.14,0,0,0,0,0
21/4/2018,8915.31,604.87,148.4,13.3302,0,0.28668,0,0,0,0,74.748,0,0,0,0,0
22/4/2018,8787.02,620.92,146.38,12.8888,0,0.2816,0,0,0,0,73.615,0,0,0,0,0
23/4/2018,8934.01,645.09,152.56,13.645,0,0.28788,0,0,0,0,76.2,0,0,0,0,0
24/4/2018,9619.99,701.58,164.78,15.0895,0,0.30853,0,0,0,0,82.412,0,0,0,0,0
25/4/2018,8869.99,618,144.75,13.3999,0,0.2687,0,0,0,0,71.549,0,0,0,0,0
26/4/2018,9266,661.51,153.19,14.63,0,0.29326,0,0,0,0,76.879,0,0,0,0,0
27/4/2018,8915.35,643.46,144.9,14.2396,0,0.28445,0,0,0,0,72.318,0,0,0,0,0
28/4/2018,9348,682.86,152.1,15.2011,0,0.35676,0,0,0,0,76.613,0,0,0,0,0
29/4/2018,9419,690.85,153.5,15.0489,0,0.36254,0,0,0,0,90.6,0,0,0,0,0
30/4/2018,9246.01,670.78,148.37,14.3291,0,0.34145,0,0,0,0,84,0,0,0,0,0
1/5/2018,9071.48,672,148.29,14.1711,0,0.35504,0,0,0,0,84.104,0,0,0,0,0
2/5/2018,9247.84,688.56,151.58,14.439,0,0.37199,0,0,0,0,84.801,0,0,0,0,0
3/5/2018,9750,779,161.38,14.6999,0,0.36716,0,0,0,0,87.707,0,0,0,0,0
4/5/2018,9713.99,785.99,169.44,14.3622,0.8899,0.358,0,0,0,0,84.205,0,0,0,0,0
5/5/2018,9864,819.5,179.04,14.4468,0.9028,0.36502,0,0,0,0,84.5,0,0,0,0,0
6/5/2018,9659.01,794.3,172.32,14.012,0.86483,0.34654,0,0,0,0,83.766,0,0,0,0,0
7/5/2018,9365,752.49,164.59,13.71,0.8249,0.33046,0,0,0,0,79.129,0,0,0,0,0
8/5/2018,9187.56,748.99,158.89,13.4981,0.80667,0.32213,0,0,0,0,76.853,0,0,0,0,0
9/5/2018,9310,751.75,156.72,14.6417,0.79481,0.31884,0,0,0,0,76.158,0,0,0,0,0
10/5/2018,9002.2,722.52,148.16,13.7957,0.74558,0.29121,0,0,0,0,69.638,0,0,0,0,0
11/5/2018,8400,676.96,136.32,12.9884,0.6761,0.25573,0,0,0,0,63.429,0,0,0,0,0
12/5/2018,8465.94,684.11,141.57,12.9319,0.68522,0.2655,0,0,0,0,64.559,0,0,0,0,0
