Date,MVO,HRP,CLA,S&P Crypto Broad (BM)
1/8/2020,0,0,0,#N/A
2/8/2020,-0.041807726,0.000430248,-0.035447193,#N/A
3/8/2020,0.000247664,0.000373805,0.000267284,0.033434087
4/8/2020,0.008849972,0.00034047,0.007568426,-0.014276749
5/8/2020,0.000232723,0.000353918,0.000251467,0.031854665
6/8/2020,0.000253555,0.000384951,0.000273956,0.018476488
7/8/2020,-0.008721348,0.000345862,-0.007170505,-0.037959347
8/8/2020,0.000198458,0.000301929,0.000214175,#N/A
9/8/2020,0.003320432,0.000369636,0.00300549,#N/A
10/8/2020,-0.004886807,0.000357315,-0.004086712,0.043538884
11/8/2020,0.000262561,0.000395049,0.000283122,-0.041571484
12/8/2020,-0.014555859,0.000316379,-0.012246129,0.019652373
13/8/2020,0.000243137,0.000357549,0.000261484,0.0060864
14/8/2020,0.000312399,0.00045442,0.000335834,0.039738728
15/8/2020,0.000276882,0.000404518,0.000297694,#N/A
16/8/2020,0.000295823,0.000432351,0.000318059,#N/A
17/8/2020,0.000290632,0.00042731,0.00031254,0.045092335
18/8/2020,0.000312771,0.000459088,0.000336322,-0.031598588
19/8/2020,0.000246923,0.000362789,0.00026552,-0.03988877
20/8/2020,0.000201103,0.000296298,0.000216268,0.024927593
21/8/2020,0.000195926,0.000289846,0.000210729,-0.020786368
22/8/2020,-0.00905066,0.000244348,-0.007750662,#N/A
23/8/2020,0.000182633,0.000266069,0.000196129,#N/A
24/8/2020,0.003222347,0.000269795,0.002759556,0.01144605
25/8/2020,0.000190742,0.000279958,0.000204963,-0.046227826
26/8/2020,0.000137367,0.000201305,0.000147599,0.020189571
27/8/2020,0.000157831,0.000230475,0.000169564,-0.02754349
28/8/2020,0.000140035,0.000202597,0.000150394,0.030356417
29/8/2020,0.00621198,0.000243168,0.005307315,#N/A
30/8/2020,0.000171258,0.000250415,0.000184121,#N/A
31/8/2020,-0.006807436,0.000287468,-0.005886101,0.038855276
1/9/2020,-0.007364691,0.000279073,-0.006024749,0.031630812
2/9/2020,0.010242261,0.000316143,0.008874713,-0.060554925
3/9/2020,-0.019491486,0.00018862,-0.01645501,-0.063467526
4/9/2020,0.045219175,9.31455E-05,0.037949723,-0.016924722
5/9/2020,7.05702E-05,0.000106633,7.61327E-05,#N/A
6/9/2020,5.81538E-05,8.9613E-05,6.2783E-05,#N/A
7/9/2020,-0.003585428,8.47174E-05,-0.003179128,-0.059274937
8/9/2020,-0.002651524,0.000105147,-0.002199041,-0.014492389
